,x,y,area,excentricidad,semieje_menor,semieje_mayor,azul,verde,rojo
389,1987,302,114.5,0.7083420753981181,10.872374534606934,15.402814865112305,8,31,77
390,1985,271,44.0,0.4999999214107285,7.4833149909973145,8.640987396240234,70,95,127
391,1981,3215,2.0,0.0,0.0,0.0,105,121,134
392,1984,334,46.0,0.5345225262926081,7.855844020843506,9.295160293579102,44,55,99
393,1987,997,188.0,0.6885029926976338,15.056963920593262,20.761539459228516,31,95,126
394,1981,371,58.0,0.5706381438294124,8.491192817687988,10.339961051940918,42,12,25
395,1980,170,34.0,0.0,7.211102485656738,7.211102485656738,21,24,69
396,1979,1810,34.0,0.0,7.211102485656738,7.211102485656738,38,57,94
397,1979,501,34.0,0.0,7.211102485656738,7.211102485656738,43,48,81
398,1982,242,98.0,0.7264812470382531,9.722392082214355,14.148117065429688,21,31,61
399,1978,1630,71.5,0.6191483083403084,9.009658813476562,11.4732666015625,18,20,38
